"subject" "activity"
"264" 2 "walkingDownstairs"
"265" 2 "walkingDownstairs"
"266" 2 "walkingDownstairs"
"267" 2 "walkingDownstairs"
"268" 2 "walkingDownstairs"
"269" 2 "walkingDownstairs"
"270" 2 "walkingDownstairs"
"271" 2 "walkingDownstairs"
"272" 2 "walkingDownstairs"
"273" 2 "walkingDownstairs"
"274" 2 "walkingDownstairs"
"275" 2 "walkingDownstairs"
"276" 2 "walkingDownstairs"
"277" 2 "walkingDownstairs"
"278" 2 "walkingDownstairs"
"279" 2 "walkingDownstairs"
"280" 2 "walkingUpstairs"
"281" 2 "walkingUpstairs"
"282" 2 "walkingUpstairs"
"283" 2 "walkingUpstairs"
"284" 2 "walkingUpstairs"
"285" 2 "walkingUpstairs"
"286" 2 "walkingUpstairs"
"287" 2 "walkingUpstairs"
"288" 2 "walkingUpstairs"
"289" 2 "walkingUpstairs"
"290" 2 "walkingUpstairs"
"291" 2 "walkingUpstairs"
"292" 2 "walkingUpstairs"
"293" 2 "walkingUpstairs"
"294" 2 "walkingUpstairs"
"295" 2 "walkingUpstairs"
"296" 2 "walkingUpstairs"
"297" 2 "walkingUpstairs"
"298" 2 "walkingUpstairs"
"299" 2 "walkingUpstairs"
"300" 2 "walkingUpstairs"
"301" 2 "walkingUpstairs"
"302" 2 "walkingUpstairs"
"303" 4 "standing"
"304" 4 "standing"
"305" 4 "standing"
"306" 4 "standing"
"307" 4 "standing"
"308" 4 "standing"
"309" 4 "standing"
"310" 4 "standing"
"311" 4 "standing"
"312" 4 "standing"
"313" 4 "standing"
"314" 4 "standing"
"315" 4 "standing"
"316" 4 "standing"
"317" 4 "standing"
"318" 4 "standing"
"319" 4 "standing"
"320" 4 "standing"
"321" 4 "standing"
"322" 4 "standing"
"323" 4 "standing"
"324" 4 "standing"
"325" 4 "standing"
"326" 4 "standing"
"327" 4 "standing"
"328" 4 "standing"
"329" 4 "standing"
"330" 4 "standing"
"331" 4 "sitting"
"332" 4 "sitting"
"333" 4 "sitting"
"334" 4 "sitting"
"335" 4 "sitting"
"336" 4 "sitting"
"337" 4 "sitting"
"338" 4 "sitting"
"339" 4 "sitting"
"340" 4 "sitting"
"341" 4 "sitting"
"342" 4 "sitting"
"343" 4 "sitting"
"344" 4 "sitting"
"345" 4 "sitting"
"346" 4 "sitting"
"347" 4 "sitting"
"348" 4 "sitting"
"349" 4 "sitting"
"350" 4 "sitting"
"351" 4 "sitting"
"352" 4 "sitting"
"353" 4 "sitting"
"354" 4 "sitting"
"355" 4 "laying"
"356" 4 "laying"
"357" 4 "laying"
"358" 4 "laying"
"359" 4 "laying"
"360" 4 "laying"
"361" 4 "laying"
"362" 4 "laying"
"363" 4 "laying"
"364" 4 "laying"
"365" 4 "laying"
"366" 4 "laying"
"367" 4 "laying"
"368" 4 "laying"
"369" 4 "laying"
"370" 4 "laying"
"371" 4 "laying"
"372" 4 "laying"
"373" 4 "laying"
"374" 4 "laying"
"375" 4 "laying"
"376" 4 "laying"
"377" 4 "laying"
"378" 4 "laying"
"379" 4 "laying"
"380" 4 "laying"
"381" 4 "laying"
"382" 4 "laying"
"383" 4 "laying"
"384" 4 "laying"
"385" 4 "walking"
"386" 4 "walking"
"387" 4 "walking"
"388" 4 "walking"
"389" 4 "walking"
"390" 4 "walking"
"391" 4 "walking"
"392" 4 "walking"
"393" 4 "walking"
"394" 4 "walking"
"395" 4 "walking"
"396" 4 "walking"
"397" 4 "walking"
"398" 4 "walking"
"399" 4 "walking"
"400" 4 "walking"
"401" 4 "walking"
"402" 4 "walking"
"403" 4 "walking"
"404" 4 "walking"
"405" 4 "walking"
"406" 4 "walking"
"407" 4 "walking"
"408" 4 "walking"
"409" 4 "walking"
"410" 4 "walking"
"411" 4 "walking"
"412" 4 "walking"
"413" 4 "walking"
"414" 4 "walking"
"415" 4 "walking"
"416" 4 "walkingDownstairs"
"417" 4 "walkingDownstairs"
"418" 4 "walkingDownstairs"
"419" 4 "walkingDownstairs"
"420" 4 "walkingDownstairs"
"421" 4 "walkingDownstairs"
"422" 4 "walkingDownstairs"
"423" 4 "walkingDownstairs"
"424" 4 "walkingDownstairs"
"425" 4 "walkingDownstairs"
"426" 4 "walkingDownstairs"
"427" 4 "walkingDownstairs"
"428" 4 "walkingDownstairs"
"429" 4 "walkingDownstairs"
"430" 4 "walkingDownstairs"
"431" 4 "walkingDownstairs"
"432" 4 "walkingDownstairs"
"433" 4 "walkingDownstairs"
"434" 4 "walkingDownstairs"
"435" 4 "walkingDownstairs"
"436" 4 "walkingDownstairs"
"437" 4 "walkingDownstairs"
"438" 4 "walkingDownstairs"
"439" 4 "walkingUpstairs"
"440" 4 "walkingUpstairs"
"441" 4 "walkingUpstairs"
"442" 4 "walkingUpstairs"
"443" 4 "walkingUpstairs"
"444" 4 "walkingUpstairs"
"445" 4 "walkingUpstairs"
"446" 4 "walkingUpstairs"
"447" 4 "walkingUpstairs"
"448" 4 "walkingUpstairs"
"449" 4 "walkingUpstairs"
"450" 4 "walkingUpstairs"
"451" 4 "walkingUpstairs"
"452" 4 "walkingUpstairs"
"453" 4 "walkingUpstairs"
"454" 4 "walkingUpstairs"
"455" 4 "walkingUpstairs"
"456" 4 "walkingUpstairs"
"457" 4 "walkingUpstairs"
"458" 4 "walkingUpstairs"
"459" 4 "walkingUpstairs"
"460" 4 "walkingUpstairs"
"461" 4 "walkingUpstairs"
"462" 4 "walkingUpstairs"
"463" 4 "walkingUpstairs"
"464" 4 "walkingUpstairs"
"465" 4 "walkingUpstairs"
"466" 4 "walkingUpstairs"
"467" 4 "standing"
"468" 4 "standing"
"469" 4 "standing"
"470" 4 "standing"
"471" 4 "standing"
"472" 4 "standing"
"473" 4 "standing"
"474" 4 "standing"
"475" 4 "standing"
"476" 4 "standing"
"477" 4 "standing"
"478" 4 "standing"
"479" 4 "standing"
"480" 4 "standing"
"481" 4 "standing"
"482" 4 "standing"
"483" 4 "standing"
"484" 4 "standing"
"485" 4 "standing"
"486" 4 "standing"
"487" 4 "standing"
"488" 4 "standing"
"489" 4 "standing"
"490" 4 "standing"
"491" 4 "standing"
"492" 4 "standing"
"493" 4 "standing"
"494" 4 "standing"
"495" 4 "sitting"
"496" 4 "sitting"
"497" 4 "sitting"
"498" 4 "sitting"
"499" 4 "sitting"
"500" 4 "sitting"
"501" 4 "sitting"
"502" 4 "sitting"
"503" 4 "sitting"
"504" 4 "sitting"
"505" 4 "sitting"
"506" 4 "sitting"
"507" 4 "sitting"
"508" 4 "sitting"
"509" 4 "sitting"
"510" 4 "sitting"
"511" 4 "sitting"
"512" 4 "sitting"
"513" 4 "sitting"
"514" 4 "sitting"
"515" 4 "sitting"
"516" 4 "sitting"
"517" 4 "sitting"
"518" 4 "sitting"
"519" 4 "sitting"
"520" 4 "sitting"
"521" 4 "laying"
"522" 4 "laying"
"523" 4 "laying"
"524" 4 "laying"
"525" 4 "laying"
"526" 4 "laying"
"527" 4 "laying"
"528" 4 "laying"
"529" 4 "laying"
"530" 4 "laying"
"531" 4 "laying"
"532" 4 "laying"
"533" 4 "laying"
"534" 4 "laying"
"535" 4 "laying"
"536" 4 "laying"
"537" 4 "laying"
"538" 4 "laying"
"539" 4 "laying"
"540" 4 "laying"
"541" 4 "laying"
"542" 4 "laying"
"543" 4 "laying"
"544" 4 "laying"
"545" 4 "walking"
"546" 4 "walking"
"547" 4 "walking"
"548" 4 "walking"
"549" 4 "walking"
"550" 4 "walking"
"551" 4 "walking"
"552" 4 "walking"
"553" 4 "walking"
"554" 4 "walking"
"555" 4 "walking"
"556" 4 "walking"
"557" 4 "walking"
"558" 4 "walking"
"559" 4 "walking"
"560" 4 "walking"
"561" 4 "walking"
"562" 4 "walking"
"563" 4 "walking"
"564" 4 "walking"
"565" 4 "walking"
"566" 4 "walking"
"567" 4 "walking"
"568" 4 "walking"
"569" 4 "walking"
"570" 4 "walking"
"571" 4 "walking"
"572" 4 "walking"
"573" 4 "walking"
"574" 4 "walkingDownstairs"
"575" 4 "walkingDownstairs"
"576" 4 "walkingDownstairs"
"577" 4 "walkingDownstairs"
"578" 4 "walkingDownstairs"
"579" 4 "walkingDownstairs"
"580" 4 "walkingDownstairs"
"581" 4 "walkingDownstairs"
"582" 4 "walkingDownstairs"
"583" 4 "walkingDownstairs"
"584" 4 "walkingDownstairs"
"585" 4 "walkingDownstairs"
"586" 4 "walkingDownstairs"
"587" 4 "walkingDownstairs"
"588" 4 "walkingDownstairs"
"589" 4 "walkingDownstairs"
"590" 4 "walkingDownstairs"
"591" 4 "walkingDownstairs"
"592" 4 "walkingDownstairs"
"593" 4 "walkingDownstairs"
"594" 4 "walkingDownstairs"
"595" 4 "walkingDownstairs"
"596" 4 "walkingUpstairs"
"597" 4 "walkingUpstairs"
"598" 4 "walkingUpstairs"
"599" 4 "walkingUpstairs"
"600" 4 "walkingUpstairs"
"601" 4 "walkingUpstairs"
"602" 4 "walkingUpstairs"
"603" 4 "walkingUpstairs"
"604" 4 "walkingUpstairs"
"605" 4 "walkingUpstairs"
"606" 4 "walkingUpstairs"
"607" 4 "walkingUpstairs"
"608" 4 "walkingUpstairs"
"609" 4 "walkingUpstairs"
"610" 4 "walkingUpstairs"
"611" 4 "walkingUpstairs"
"612" 4 "walkingUpstairs"
"613" 4 "walkingUpstairs"
"614" 4 "walkingUpstairs"
"615" 4 "walkingUpstairs"
"616" 4 "walkingUpstairs"
"617" 4 "walkingUpstairs"
"618" 4 "walkingUpstairs"
"619" 4 "walkingUpstairs"
"620" 9 "standing"
"621" 9 "standing"
"622" 9 "standing"
"623" 9 "standing"
"624" 9 "standing"
"625" 9 "standing"
"626" 9 "standing"
"627" 9 "standing"
"628" 9 "standing"
"629" 9 "standing"
"630" 9 "standing"
"631" 9 "standing"
"632" 9 "standing"
"633" 9 "standing"
"634" 9 "standing"
"635" 9 "standing"
"636" 9 "standing"
"637" 9 "standing"
"638" 9 "standing"
"639" 9 "standing"
"640" 9 "standing"
"641" 9 "standing"
"642" 9 "sitting"
"643" 9 "sitting"
"644" 9 "sitting"
"645" 9 "sitting"
"646" 9 "sitting"
"647" 9 "sitting"
"648" 9 "sitting"
"649" 9 "sitting"
"650" 9 "sitting"
"651" 9 "sitting"
"652" 9 "sitting"
"653" 9 "sitting"
"654" 9 "sitting"
"655" 9 "sitting"
"656" 9 "sitting"
"657" 9 "sitting"
"658" 9 "sitting"
"659" 9 "sitting"
"660" 9 "sitting"
"661" 9 "sitting"
"662" 9 "sitting"
"663" 9 "sitting"
"664" 9 "sitting"
"665" 9 "sitting"
"666" 9 "sitting"
"667" 9 "laying"
"668" 9 "laying"
"669" 9 "laying"
"670" 9 "laying"
"671" 9 "laying"
"672" 9 "laying"
"673" 9 "laying"
"674" 9 "laying"
"675" 9 "laying"
"676" 9 "laying"
"677" 9 "laying"
"678" 9 "laying"
"679" 9 "laying"
"680" 9 "laying"
"681" 9 "laying"
"682" 9 "laying"
"683" 9 "laying"
"684" 9 "laying"
"685" 9 "laying"
"686" 9 "laying"
"687" 9 "laying"
"688" 9 "laying"
"689" 9 "laying"
"690" 9 "laying"
"691" 9 "walking"
"692" 9 "walking"
"693" 9 "walking"
"694" 9 "walking"
"695" 9 "walking"
"696" 9 "walking"
"697" 9 "walking"
"698" 9 "walking"
"699" 9 "walking"
"700" 9 "walking"
"701" 9 "walking"
"702" 9 "walking"
"703" 9 "walking"
"704" 9 "walking"
"705" 9 "walking"
"706" 9 "walking"
"707" 9 "walking"
"708" 9 "walking"
"709" 9 "walking"
"710" 9 "walking"
"711" 9 "walking"
"712" 9 "walking"
"713" 9 "walking"
"714" 9 "walking"
"715" 9 "walking"
"716" 9 "walking"
"717" 9 "walkingDownstairs"
"718" 9 "walkingDownstairs"
"719" 9 "walkingDownstairs"
"720" 9 "walkingDownstairs"
"721" 9 "walkingDownstairs"
"722" 9 "walkingDownstairs"
"723" 9 "walkingDownstairs"
"724" 9 "walkingUpstairs"
"725" 9 "walkingUpstairs"
"726" 9 "walkingUpstairs"
"727" 9 "walkingUpstairs"
"728" 9 "walkingUpstairs"
"729" 9 "walkingUpstairs"
"730" 9 "walkingUpstairs"
"731" 9 "walkingUpstairs"
"732" 9 "walkingUpstairs"
"733" 9 "walkingUpstairs"
"734" 9 "walkingDownstairs"
"735" 9 "walkingDownstairs"
"736" 9 "walkingDownstairs"
"737" 9 "walkingDownstairs"
"738" 9 "walkingDownstairs"
"739" 9 "walkingDownstairs"
"740" 9 "walkingUpstairs"
"741" 9 "walkingUpstairs"
"742" 9 "walkingUpstairs"
"743" 9 "walkingUpstairs"
"744" 9 "walkingUpstairs"
"745" 9 "walkingUpstairs"
"746" 9 "walkingUpstairs"
"747" 9 "walkingUpstairs"
"748" 9 "walkingDownstairs"
"749" 9 "walkingDownstairs"
"750" 9 "walkingDownstairs"
"751" 9 "walkingDownstairs"
"752" 9 "walkingDownstairs"
"753" 9 "walkingDownstairs"
"754" 9 "walkingDownstairs"
"755" 9 "walkingDownstairs"
"756" 9 "walkingUpstairs"
"757" 9 "walkingUpstairs"
"758" 9 "walkingUpstairs"
"759" 9 "walkingUpstairs"
"760" 9 "walkingUpstairs"
"761" 9 "walkingUpstairs"
"762" 9 "walkingUpstairs"
"763" 9 "walkingUpstairs"
"764" 9 "standing"
"765" 9 "standing"
"766" 9 "standing"
"767" 9 "standing"
"768" 9 "standing"
"769" 9 "standing"
"770" 9 "standing"
"771" 9 "standing"
"772" 9 "standing"
"773" 9 "standing"
"774" 9 "standing"
"775" 9 "standing"
"776" 9 "standing"
"777" 9 "standing"
"778" 9 "standing"
"779" 9 "standing"
"780" 9 "standing"
"781" 9 "standing"
"782" 9 "standing"
"783" 9 "standing"
"784" 9 "standing"
"785" 9 "standing"
"786" 9 "standing"
"787" 9 "sitting"
"788" 9 "sitting"
"789" 9 "sitting"
"790" 9 "sitting"
"791" 9 "sitting"
"792" 9 "sitting"
"793" 9 "sitting"
"794" 9 "sitting"
"795" 9 "sitting"
"796" 9 "sitting"
"797" 9 "sitting"
"798" 9 "sitting"
"799" 9 "sitting"
"800" 9 "sitting"
"801" 9 "sitting"
"802" 9 "sitting"
"803" 9 "sitting"
"804" 9 "sitting"
"805" 9 "sitting"
"806" 9 "sitting"
"807" 9 "sitting"
"808" 9 "sitting"
"809" 9 "sitting"
"810" 9 "sitting"
"811" 9 "sitting"
"812" 9 "laying"
"813" 9 "laying"
"814" 9 "laying"
"815" 9 "laying"
"816" 9 "laying"
"817" 9 "laying"
"818" 9 "laying"
"819" 9 "laying"
"820" 9 "laying"
"821" 9 "laying"
"822" 9 "laying"
"823" 9 "laying"
"824" 9 "laying"
"825" 9 "laying"
"826" 9 "laying"
"827" 9 "laying"
"828" 9 "laying"
"829" 9 "laying"
"830" 9 "laying"
"831" 9 "laying"
"832" 9 "laying"
"833" 9 "laying"
"834" 9 "laying"
"835" 9 "laying"
"836" 9 "laying"
"837" 9 "laying"
"838" 9 "walking"
"839" 9 "walking"
"840" 9 "walking"
"841" 9 "walking"
"842" 9 "walking"
"843" 9 "walking"
"844" 9 "walking"
"845" 9 "walking"
"846" 9 "walking"
"847" 9 "walking"
"848" 9 "walking"
"849" 9 "walking"
"850" 9 "walking"
"851" 9 "walking"
"852" 9 "walking"
"853" 9 "walking"
"854" 9 "walking"
"855" 9 "walking"
"856" 9 "walking"
"857" 9 "walking"
"858" 9 "walking"
"859" 9 "walking"
"860" 9 "walking"
"861" 9 "walking"
"862" 9 "walking"
"863" 9 "walking"
"864" 9 "walkingDownstairs"
"865" 9 "walkingDownstairs"
"866" 9 "walkingDownstairs"
"867" 9 "walkingDownstairs"
"868" 9 "walkingDownstairs"
"869" 9 "walkingDownstairs"
"870" 9 "walkingDownstairs"
"871" 9 "walkingDownstairs"
"872" 9 "walkingDownstairs"
"873" 9 "walkingDownstairs"
"874" 9 "walkingDownstairs"
"875" 9 "walkingDownstairs"
"876" 9 "walkingDownstairs"
"877" 9 "walkingDownstairs"
"878" 9 "walkingUpstairs"
"879" 9 "walkingUpstairs"
"880" 9 "walkingUpstairs"
"881" 9 "walkingUpstairs"
"882" 9 "walkingUpstairs"
"883" 9 "walkingUpstairs"
"884" 9 "walkingUpstairs"
"885" 9 "walkingUpstairs"
"886" 9 "walkingUpstairs"
"887" 9 "walkingUpstairs"
"888" 9 "walkingUpstairs"
"889" 9 "walkingUpstairs"
"890" 9 "walkingUpstairs"
"891" 9 "walkingUpstairs"
"892" 9 "walkingUpstairs"
"893" 9 "walkingUpstairs"
"894" 9 "walkingUpstairs"
"895" 9 "walkingUpstairs"
"896" 9 "walkingUpstairs"
"897" 9 "walkingUpstairs"
"898" 9 "walkingUpstairs"
"899" 9 "walkingUpstairs"
"900" 9 "walkingUpstairs"
"901" 9 "walkingDownstairs"
"902" 9 "walkingDownstairs"
"903" 9 "walkingDownstairs"
"904" 9 "walkingDownstairs"
"905" 9 "walkingDownstairs"
"906" 9 "walkingDownstairs"
"907" 9 "walkingDownstairs"
"908" 10 "standing"
"909" 10 "standing"
"910" 10 "standing"
"911" 10 "standing"
"912" 10 "standing"
"913" 10 "standing"
"914" 10 "standing"
"915" 10 "standing"
"916" 10 "standing"
"917" 10 "standing"
"918" 10 "standing"
"919" 10 "standing"
"920" 10 "standing"
"921" 10 "standing"
"922" 10 "standing"
"923" 10 "standing"
"924" 10 "standing"
"925" 10 "standing"
"926" 10 "standing"
"927" 10 "standing"
"928" 10 "standing"
"929" 10 "standing"
"930" 10 "standing"
"931" 10 "sitting"
"932" 10 "sitting"
"933" 10 "sitting"
"934" 10 "sitting"
"935" 10 "sitting"
"936" 10 "sitting"
"937" 10 "sitting"
"938" 10 "sitting"
"939" 10 "sitting"
"940" 10 "sitting"
"941" 10 "sitting"
"942" 10 "sitting"
"943" 10 "sitting"
"944" 10 "sitting"
"945" 10 "sitting"
"946" 10 "sitting"
"947" 10 "sitting"
"948" 10 "sitting"
"949" 10 "sitting"
"950" 10 "sitting"
"951" 10 "sitting"
"952" 10 "sitting"
"953" 10 "sitting"
"954" 10 "sitting"
"955" 10 "laying"
"956" 10 "laying"
"957" 10 "laying"
"958" 10 "laying"
"959" 10 "laying"
"960" 10 "laying"
"961" 10 "laying"
"962" 10 "laying"
"963" 10 "laying"
"964" 10 "laying"
"965" 10 "laying"
"966" 10 "laying"
"967" 10 "laying"
"968" 10 "laying"
"969" 10 "laying"
"970" 10 "laying"
"971" 10 "laying"
"972" 10 "laying"
"973" 10 "laying"
"974" 10 "laying"
"975" 10 "laying"
"976" 10 "laying"
"977" 10 "laying"
"978" 10 "laying"
"979" 10 "laying"
"980" 10 "laying"
"981" 10 "laying"
"982" 10 "laying"
"983" 10 "laying"
"984" 10 "laying"
"985" 10 "laying"
"986" 10 "walking"
"987" 10 "walking"
"988" 10 "walking"
"989" 10 "walking"
"990" 10 "walking"
"991" 10 "walking"
"992" 10 "walking"
"993" 10 "walking"
"994" 10 "walking"
"995" 10 "walking"
"996" 10 "walking"
"997" 10 "walking"
"998" 10 "walking"
"999" 10 "walking"
"1000" 10 "walking"
"1001" 10 "walking"
"1002" 10 "walking"
"1003" 10 "walking"
"1004" 10 "walking"
"1005" 10 "walking"
"1006" 10 "walking"
"1007" 10 "walking"
"1008" 10 "walking"
"1009" 10 "walking"
"1010" 10 "walking"
"1011" 10 "walking"
"1012" 10 "walking"
"1013" 10 "walkingDownstairs"
"1014" 10 "walkingDownstairs"
"1015" 10 "walkingDownstairs"
"1016" 10 "walkingDownstairs"
"1017" 10 "walkingDownstairs"
"1018" 10 "walkingDownstairs"
"1019" 10 "walkingDownstairs"
"1020" 10 "walkingDownstairs"
"1021" 10 "walkingDownstairs"
"1022" 10 "walkingDownstairs"
"1023" 10 "walkingDownstairs"
"1024" 10 "walkingDownstairs"
"1025" 10 "walkingDownstairs"
"1026" 10 "walkingDownstairs"
"1027" 10 "walkingDownstairs"
"1028" 10 "walkingDownstairs"
"1029" 10 "walkingDownstairs"
"1030" 10 "walkingDownstairs"
"1031" 10 "walkingDownstairs"
"1032" 10 "walkingUpstairs"
"1033" 10 "walkingUpstairs"
"1034" 10 "walkingUpstairs"
"1035" 10 "walkingUpstairs"
"1036" 10 "walkingUpstairs"
"1037" 10 "walkingUpstairs"
"1038" 10 "walkingUpstairs"
"1039" 10 "walkingUpstairs"
"1040" 10 "walkingUpstairs"
"1041" 10 "walkingUpstairs"
"1042" 10 "walkingUpstairs"
"1043" 10 "walkingUpstairs"
"1044" 10 "walkingUpstairs"
"1045" 10 "walkingUpstairs"
"1046" 10 "walkingUpstairs"
"1047" 10 "walkingUpstairs"
"1048" 10 "walkingUpstairs"
"1049" 10 "walkingUpstairs"
"1050" 10 "walkingUpstairs"
"1051" 10 "walkingUpstairs"
"1052" 10 "walkingUpstairs"
"1053" 10 "walkingUpstairs"
"1054" 10 "walkingUpstairs"
"1055" 10 "standing"
"1056" 10 "standing"
"1057" 10 "standing"
"1058" 10 "standing"
"1059" 10 "standing"
"1060" 10 "standing"
"1061" 10 "standing"
"1062" 10 "standing"
"1063" 10 "standing"
"1064" 10 "standing"
"1065" 10 "standing"
"1066" 10 "standing"
"1067" 10 "standing"
"1068" 10 "standing"
"1069" 10 "standing"
"1070" 10 "standing"
"1071" 10 "standing"
